[ID Trabajador ,  Nombre ,  Apellido M. ,  Apellido P. ,  Antiguedad ,  Calle ,  Colonia ,  Municipio ,  Proyectos Vigentes , null, null,  Proyectos Historicos , null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[1, Sofia, Lopez, Garcia, 8, Clemente Orozco No 13,San Patricio,Cihuatlan, Mom - La Incubadora Economica que Salvara 1 Millon de Vidas, null, null, CycleWash - Una Innovadora Lavadora para Bicicletas, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Infarm - Una Granja Techada, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[2, Daniel, Perez, Gomez, 24, Hidalgo No 40,Jocotepec Centro,Jocotepec, Aura - La Sofisticada Computadora que no Tiene Monitor, Virtual Tours - Una Agencia de Turismo Virtual, Mom - La Incubadora Economica que Salvara 1 Millon de Vidas, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, Urban Rigger - Residencias Flotantes para Estudiantes, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Nuro - El Vehiculo que Entregara tus Compras, Infarm - Una Granja Techada, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, Mirror - El Gimnasio que cabe en un Espejo, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Urban Rigger - Residencias Flotantes para Estudiantes, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[3, Sofia, Lopez, Sanchez, 38, 2 Norte No 106,Acatzingo de Hidalgo,Acatzingo, SafetyNet - La Red que Salvara a Millones de Peces, null, null, Piestro - El Robot que Prepara Pizzas en 3 Minutos, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Time Off - El Reloj que elimina la Ansiedad digital, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Creator - El Robot que Fabrica Hamburguesas, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[4, Sebastian, Jimenez, Lopez, 31, Zuniga No 13,Encarnacion de diaz,Encarnacion de Diaz, Bandi - El Robot que se Convertira en tu Guia Turistico, null, null, Time Off - El Reloj que elimina la Ansiedad digital, O Wind - La Turbina que te Permite Generar Electricidad, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Project Circleg - La Startup que crea Protesis Accesibles y Ecologicas, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, PAL-V - El Auto Urbano que Vuela, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Mirror - El Gimnasio que cabe en un Espejo, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Time Off - El Reloj que elimina la Ansiedad digital, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, PAL-V - El Auto Urbano que Vuela, Base - Una Cabina para Transportar a tu Mascota, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Time Off - El Reloj que elimina la Ansiedad digital, Nuro - El Vehiculo que Entregara tus Compras, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[5, Emiliano, Dominguez, Lopez, 5, Miguel Negrete No 2050,Zona Centro,Tijuana, Virtual Tours - Una Agencia de Turismo Virtual, null, null, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Urban Rigger - Residencias Flotantes para Estudiantes, O Wind - La Turbina que te Permite Generar Electricidad, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Project Circleg - La Startup que crea Protesis Accesibles y Ecologicas, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Urban Cultivator - El Gadget que te Permite Crecer Hierbas en tu Cocina, Urban Rigger - Residencias Flotantes para Estudiantes, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Wheelys 247 - Una Tienda de Conveniencia sin Empleados, Nuro - El Vehiculo que Entregara tus Compras, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Infarm - Una Granja Techada, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, Project Circleg - La Startup que crea Protesis Accesibles y Ecologicas, Time Off - El Reloj que elimina la Ansiedad digital, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, null, null, null]
[6, Valeria, Sanchez, Gonzalez, 13, Abasolo Norte No 300,Tenancingo de Degollado,Tenancingo, Mom - La Incubadora Economica que Salvara 1 Millon de Vidas, Senco - Un Innovador y Disruptivo Casco para Bomberos, Bandi - El Robot que se Convertira en tu Guia Turistico, Piestro - El Robot que Prepara Pizzas en 3 Minutos, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, Infarm - Una Granja Techada, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Creator - El Robot que Fabrica Hamburguesas, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Project Circleg - La Startup que crea Protesis Accesibles y Ecologicas, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Creator - El Robot que Fabrica Hamburguesas, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, CycleWash - Una Innovadora Lavadora para Bicicletas, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Piestro - El Robot que Prepara Pizzas en 3 Minutos, Project Circleg - La Startup que crea Protesis Accesibles y Ecologicas, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, PAL-V - El Auto Urbano que Vuela, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, Cafe X - Una Cafeteria Completamente Automatizada, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, CycleWash - Una Innovadora Lavadora para Bicicletas, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Mirror - El Gimnasio que cabe en un Espejo]
[7, Emiliano, Dominguez, Navarro, 39, Morelos No 9 Loc 5,Ixtlahuaca de Rayon,Ixtlahuaca, Virtual Tours - Una Agencia de Turismo Virtual, null, null, Mirror - El Gimnasio que cabe en un Espejo, PAL-V - El Auto Urbano que Vuela, Wheelys 247 - Una Tienda de Conveniencia sin Empleados, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, O Wind - La Turbina que te Permite Generar Electricidad, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, Ulmer Nest - Refugios Inteligentes para Personas sin Hogar, CycleWash - Una Innovadora Lavadora para Bicicletas, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[8, Sebastian, Jimenez, Romero, 5, Allende No 441,Pacabtun,Merida, Magic Leap - Un Revolucionario Gadget de Realidad Mixta, Bandi - El Robot que se Convertira en tu Guia Turistico, Aura - La Sofisticada Computadora que no Tiene Monitor, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, Creator - El Robot que Fabrica Hamburguesas, Creator - El Robot que Fabrica Hamburguesas, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, Time Off - El Reloj que elimina la Ansiedad digital, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, O Wind - La Turbina que te Permite Generar Electricidad, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Tikku - El Edificio que Cabe en un Cajon de Estacionamiento, Piestro - El Robot que Prepara Pizzas en 3 Minutos, Eli - El Micro Vehículo que Va a Transformar la Movilidad Urbana, Othalo - El Proyecto que Quiere Construir Comunidades de Plastico, PAL-V - El Auto Urbano que Vuela, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Microbial Home - Una Cocina que Funciona con Desperdicios Organicos, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Urban Rigger - Residencias Flotantes para Estudiantes, Nuro - El Vehiculo que Entregara tus Compras, Time Off - El Reloj que elimina la Ansiedad digital, Sodapop - La Bocina que Convierte Botellas de Plastico en Amplificadores, Twinkind - La Startup que te Inmortaliza en una Estatuilla, PAL-V - El Auto Urbano que Vuela, Plenty - La Startup que Crece Vegetales en Pequeños Espacios Techados, Brewbot - La Maquina que te Permite Hacer tu Propia Cerveza en Casa, null, null, null, null, null, null, null, null, null]
[9, Alexander, Gonzalez, Jimenez, 24, Sor Juana I de La Cruz N0 100,Metropolitana,Nezahualcoyotl, Senco - Un Innovador y Disruptivo Casco para Bomberos, Robomart - El Supermercado Autonomo que Llega hasta tu Casa, null, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, Cafe X - Una Cafeteria Completamente Automatizada, Nuro - El Vehiculo que Entregara tus Compras, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, Walkcar - El Vehículo Electrico que tiene el Tamaño de una Laptop, Aim - La Primer Generacion de Hospitales Ambulantes y Autonomos, Bios - El Servicio que te Convierte en un Árbol Despues de Morir, Petit Pli - Ropa Infantil que Crece Junto con tus Hijos, O Wind - La Turbina que te Permite Generar Electricidad, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
[10, Maria Jose, Gomez, Fernandez, 22, 22 Esq. 17 No s/n,Preconcreto,Alvaro Obregon, Senco - Un Innovador y Disruptivo Casco para Bomberos, Robomart - El Supermercado Autonomo que Llega hasta tu Casa, Senco - Un Innovador y Disruptivo Casco para Bomberos, Urban Rigger - Residencias Flotantes para Estudiantes, O Wind - La Turbina que te Permite Generar Electricidad, Cafe X - Una Cafeteria Completamente Automatizada, Lilium - proyecto que Convertir los Techos de la Ciudad en Aeropuertos, PAL-V - El Auto Urbano que Vuela, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, O Wind - La Turbina que te Permite Generar Electricidad, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Zipline - Una Flotilla de Drones Transportadores de Sangre y Medicinas, Time Off - El Reloj que elimina la Ansiedad digital, Time Off - El Reloj que elimina la Ansiedad digital, Base - Una Cabina para Transportar a tu Mascota, BVG Adidas - Los Sneakers que te dan Acceso Ilimitado al Transporte Publico, Nuro - El Vehiculo que Entregara tus Compras, At Skin - El Gagdet que Convierte tu Smartphone en Escaner de Piel, The Tyre Collective - El Dispositivo que Elimina la Contaminación de las Llantas, Mimica - Las Etiquetas Inteligentes que Reducen el Desperdicio de Alimentos, Cafe X - Una Cafeteria Completamente Automatizada, Time Off - El Reloj que elimina la Ansiedad digital, Time Off - El Reloj que elimina la Ansiedad digital, Twinkind - La Startup que te Inmortaliza en una Estatuilla, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, YouWho - El Kit que Revela tu Pasado a traves de la Saliva, Mirror - El Gimnasio que cabe en un Espejo, Mirror - El Gimnasio que cabe en un Espejo, AIRO - El Vehiculo que Limpia la Contaminacion de Otros Autos, Base - Una Cabina para Transportar a tu Mascota, Project Circleg - La Startup que crea Protesis Accesibles y Ecologicas, PAL-V - El Auto Urbano que Vuela, Precious Plastic - Un Proyecto en Busca de que Todos Podamos Reciclar, Urban Rigger - Residencias Flotantes para Estudiantes, Mashambas - El Rascacielos que Planea Alimentar a todo un Pueblo en Africa, Proteon - La Maquina Expendedora que Prepara tu Shake de Proteina, null, null, null, null, null]
